Sydney,Australia,2173

Paris,France,123
London,UK,1986
Rome,Italy,1973
Bali,Indonesia,1953
Crete,Greece,1873
Barcelona,Spain,1993
Prague,Czech Republic,1971
Marrakech,Morocco,2973
Istanbul,Turkey,1373
New york City,New York,3973
Phuket,Thailand,2373
Hanoi,Vietnam,1273
Siem Reap,Cambodia,1573
,Jamaica,1977
Playa del Carmen,Mexico,1673
Lisbon,Portugal,2018
Dubai,United Arab Emirates,2573
Tokyo,Japan,2001
Kathmandu,Nepal,1997
Hong Kong,China,2198
Hurghada,Egypt,1632
New Delhi,India,2513
Cusco,Peru,1773
Rio de Janeiro,Brazil,2456
Sydney,Australia,2173

Paris,France,3123
London,UK,8446
Rome,Italy,1545
Bali,Indonesia,
Crete,Greece,4121
Barcelona,Spain,
Prague,Czech Republic,1667
Marrakech,Morocco,2973
Istanbul,Turkey,1373
New york City,New York,3973
Phuket,Thailand,2373
Hanoi,Vietnam,1273
Siem Reap,Cambodia,1573
,Jamaica,1977
Playa del Carmen,Mexico,1673
Lisbon,Portugal,2018
Dubai,United Arab Emirates,2573
Tokyo,Japan,2001
Kathmandu,Nepal,1997
Hong Kong,China,2198
Hurghada,Egypt,1632
New Delhi,India,2513
Cusco,Peru,1773
Rio de Janeiro,Brazil,2456
Sydney,Australia,2173
